StartStopId,EndStopId,Distance,Duration
2429103548,2429618963,4.5439,19.3166666666667
2429618960,2429618963,0.0355,0.173333333333333
2430584977,2429618963,6.4608,20.8666666666667
2431596048,2429618963,3.1646,9.68
2429619100,2429618963,2.5561,8.32
2429618973,2429618963,0.2348,1.13
1404296015,2429618963,2.4315,8.36666666666667
2430584982,2429618963,10.2999,25.5566666666667
2428628185,2429618963,7.2797,21.6533333333333
2429103545,2429618963,6.4903,17.46
2429618678,2429618963,2.5693,7.34
2429619129,2429618963,1.3614,6.56333333333333
2429619178,2429618963,4.0028,11.0233333333333
2401194618,2429618963,8.342,20.7933333333333
2429618964,2429618963,0.3867,1.91
2430584956,2429618963,3.0278,9.83
2429103554,2429618963,2.9918,12.47
4238299925,2429618963,2.6168,7.11
4942249835,2429618963,5.2033,15.09
2429103548,2429103547,0.018,0.0866666666666667
2429618960,2429103547,4.2912,17.33
2430584977,2429103547,10.0678,35.4966666666667
2431596048,2429103547,5.6784,21.4266666666667
2429619100,2429103547,4.6545,20.6266666666667
2429618973,2429103547,4.4905,18.2866666666667
1404296015,2429103547,6.0385,22.9966666666667
2430584982,2429103547,13.9069,40.1866666666667
2428628185,2429103547,3.7614,18.3233333333333
2429103545,2429103547,2.972,14.13
2429618678,2429103547,6.1763,21.97
2429619129,2429103547,3.8326,16.67
2429619178,2429103547,6.7055,24.55
2401194618,2429103547,11.0447,34.32
2429618964,2429103547,4.2895,17.2166666666667
2430584956,2429103547,7.2145,24.99
2429103554,2429103547,1.7613,8.82
4238299925,2429103547,5.656,20.9133333333333
4942249835,2429103547,8.8104,29.72
2429103548,2429618937,6.9352,28.1733333333333
2429618960,2429618937,4.8638,16.14
2430584977,2429618937,12.0662,30.6266666666667
2431596048,2429618937,0.0388,0.393333333333333
2429619100,2429618937,5.774,20.8866666666667
2429618973,2429618937,5.0631,17.0966666666667
1404296015,2429618937,6.6111,21.8066666666667
2430584982,2429618937,14.4795,38.9966666666667
2428628185,2429618937,8.3531,28.3766666666667
2429103545,2429618937,7.5637,24.1833333333333
2429618678,2429618937,6.7489,20.78
2429619129,2429618937,4.4395,17.0333333333333
2429619178,2429618937,8.4782,24.8966666666667
2401194618,2429618937,12.8174,34.6666666666667
2429618964,2429618937,4.8621,15.7833333333333
2430584956,2429618937,4.204,17.8266666666667
2429103554,2429618937,5.3831,21.3266666666667
4238299925,2429618937,7.0922,20.9833333333333
4942249835,2429618937,9.3829,28.53
2429103548,2430584977,10.156,35.2166666666667
2429618960,2430584977,5.978,18.8733333333333
2430584977,2430584977,0,0
2431596048,2430584977,10.5544,25.4866666666667
2429619100,2430584977,10.3479,25.8966666666667
2429618973,2430584977,6.1773,19.83
1404296015,2430584977,4.9688,18.2633333333333
2430584982,2430584977,6.6269,19.2966666666667
2428628185,2430584977,11.9517,38.43
2429103545,2430584977,11.1623,34.2366666666667
2429618678,2430584977,5.9753,20.06
2429619129,2430584977,7.0639,22.71
2429619178,2430584977,10.014,24.37
2401194618,2430584977,11.8585,28.45
2429618964,2430584977,6.3171,19.6166666666667
2430584956,2430584977,8.133,18.56
2429103554,2430584977,8.6039,28.37
4238299925,2430584977,7.2761,18.1666666666667
4942249835,2430584977,2.1,9.38
2429103548,1704188813,5.5199,20.7433333333333
2429618960,1704188813,3.2042,7.67333333333333
2430584977,1704188813,9.3015,21.47
2431596048,1704188813,0.8156,3.36333333333333
2429619100,1704188813,5.372,13.7266666666667
2429618973,1704188813,3.4035,8.63
1404296015,1704188813,3.4527,11.1066666666667
2430584982,1704188813,11.7827,29.55
2428628185,1704188813,6.6195,20.6266666666667
2429103545,1704188813,5.8301,16.4333333333333
2429618678,1704188813,4.0521,11.1866666666667
2429619129,1704188813,3.4834,10.27
2429619178,1704188813,6.8186,16.43
2401194618,1704188813,11.1578,26.2
2429618964,1704188813,3.2025,7.31666666666667
2430584956,1704188813,1.9185,6.07666666666667
2429103554,1704188813,3.9678,13.8966666666667
4238299925,1704188813,4.8391,12.4766666666667
4942249835,1704188813,6.6861,19.0833333333333
2429103548,2429618979,4.3779,18.5166666666667
2429618960,2429618979,0.5182,1.9
2430584977,2429618979,6.2948,20.0666666666667
2431596048,2429618979,2.9986,8.88
2429619100,2429618979,2.3902,7.52
2429618973,2429618979,0.0688,0.33
1404296015,2429618979,2.2655,7.56666666666667
2430584982,2429618979,10.1339,24.7566666666667
2428628185,2429618979,7.1138,20.8533333333333
2429103545,2429618979,6.3244,16.66
2429618678,2429618979,2.4033,6.54
2429619129,2429618979,1.1955,5.76333333333333
2429619178,2429618979,3.8368,10.2233333333333
2401194618,2429618979,8.176,19.9933333333333
2429618964,2429618979,0.2207,1.11
2430584956,2429618979,2.8619,9.03
2429103554,2429618979,2.8258,11.67
4238299925,2429618979,2.4509,6.31
4942249835,2429618979,5.0374,14.29
2429103548,1099501784,4.7338,20.65
2429618960,1099501784,2.6141,7.52666666666667
2430584977,1099501784,10.3789,25.49
2431596048,1099501784,5.0946,14.5066666666667
2429618973,1099501784,2.8134,8.48333333333333
1404296015,1099501784,4.3614,13.1933333333333
2430584982,1099501784,12.9915,28.6966666666667
2428628185,1099501784,6.5296,23.8633333333333
2429103545,1099501784,5.7402,19.67
2429618678,1099501784,3.7785,10.4033333333333
2429619129,1099501784,2.0517,7.26666666666667
2429619178,1099501784,1.7466,8.36333333333333
2401194618,1099501784,7.1502,18.2766666666667
2429618964,1099501784,2.1761,6.27333333333333
2430584956,1099501784,4.9578,14.6566666666667
2429103554,1099501784,3.1817,13.8033333333333
